Date,Region,Magnitude,Depth,Latitude,Longitude
24/12/2023,Afghanistan-Tajikistan Border Region,3.7,245,37.31,70.74
24/12/2023,"Hindu Kush Region,Afghanistan",3.9,259,35.52,70.18
24/12/2023,Southeastern Afghanistan,3.6,153,34.27,70.97
24/12/2023,Tonga Islands,5.6,5,-20.79,-174.23
24/12/2023,"Southeast of Honshu, Japan",4.8,5,32.71,142.72
24/12/2023,Near Coast of Central Chile,5.7,15,-38.21,-72.67
24/12/2023,Philippine Islands Region,5.2,12,8.9,127.08
24/12/2023,Tonga Islands Region,5.9,95,-22.25,-175.7
24/12/2023,Philippine Islands Region,5.4,14,8.44,127.14
24/12/2023,Loyalty Islands,5.8,14,-20.49,168.92
23/12/2023,Tonga Islands,5.8,15,-20.29,-173.95
23/12/2023,Afghanistan-Tajikistan Border Region,3.7,145,37.29,72.0
23/12/2023,Vanuatu Islands,5.1,22,-20.44,169.0
23/12/2023,Near East Coast of Kamchatka,5.7,58,52.08,158.92
23/12/2023,"New Britain Region, P.N.G.",5.2,325,-4.68,150.68
23/12/2023,Northern Molucca sea,4.6,70,0.42,125.25
23/12/2023,Central Afghanistan,3.9,22,31.853,66.297
23/12/2023,Banda Sea,4.8,10,-6.34,129.68
23/12/2023,"Hindu Kush Region, Afghanistan",3.9,293,36.22,70.86
23/12/2023,Northwestern Iran,4.5,10,37.95,46.66
22/12/2023,Samoa Islands Region,5.7,10,-15.71,-171.99
22/12/2023,Mongolia,5.3,10,47.93,114.34
22/12/2023,Afghanistan-Tajikistan Border Region,4.2,45,36.46,70.69
22/12/2023,North Atlantic Ocean,5.6,10,19.09,-68.75
22/12/2023,Sout of Africa,5.7,10,-52.04,27.81
22/12/2023,"Halmahera, Indonesia",5.3,73,2.65,128.22
22/12/2023,Philippine Islands Region,5.1,10,8.67,127.6
22/12/2023,"Hindu Kush Region, in Pakistan",3.2,60,35.81,71.75
22/12/2023,Fiji Islands Region,4.7,642,-18.24,-178.65
22/12/2023,Afghanistan-Tajikistan Border Region,3.9,120,36.94,71.08
22/12/2023,Fiji Islands Region,4.9,573,-17.95,-178.0
22/12/2023,"Near East Coast of Honshu, Japan",5.0,10,39.89,142.26
22/12/2023,Southwestern Kashmir,4.4,11,34.86,74.03
21/12/2023,"Near East Coast of Honshu, Japan",5.0,10,35.24,141.13
21/12/2023,"Andreanof Islands, Aleutian Islands",5.0,76,51.48,-175.35
21/12/2023,Tajikistan,3.5,285,37.59,73.6
21/12/2023,Philippine Islands Region,5.0,10,9.1,127.45
21/12/2023,Southwestern Afghanistan,3.8,165,31.9,63.43
21/12/2023,Afghanistan-Tajikistan Border Region,3.8,170,37.15,70.3
21/12/2023,"4 Km NE of Bagh, AJK",3.1,21,34.01,73.8
21/12/2023,Northern Chile,5.9,9,-21.73,-69.96
21/12/2023,"Andreanof Islands, Aleutian Islands",5.9,79,51.4,-175.22
21/12/2023,"Near East Coast of Honshu, Japan",5.2,31,35.18,141.12
21/12/2023,"Near East Coast of Honshu, Japan",4.8,59,35.39,140.87
21/12/2023,Southwestern Kashmir,3.1,22,33.66,74.37
21/12/2023,Southeastern Afghanistan,3.4,142,33.63,67.9
21/12/2023,Afghanistan-Tajikistan Border Region,3.6,110,36.68,71.66
21/12/2023,Afghanistan-Tajikistan Border Region,3.5,162,36.8,71.86
20/12/2023,Afghanistan-Tajikistan Border Region,3.7,101,36.28,71.25
20/12/2023,Afghanistan-Tajikistan Border Region,3.3,201,36.02,72.99
20/12/2023,Tajikistan,3.4,118,37.74,72.85
20/12/2023,Tajikistan,3.7,143,37.62,72.2
20/12/2023,Northwestern Kashmir,3.2,25,36.51,74.43
20/12/2023,Northern India,3.4,70,33.33,76.52
20/12/2023,Southern Peru,6.0,89,-15.96,-72.56
20/12/2023,"22 Km NE of Kargil,Gilgit Baltistan",3.7,50,34.75,76.23
20/12/2023,"Hindu Kush Region,Afghanistan",3.7,118,36.58,71.0
20/12/2023,"Andreanof Islands, Aleutian Islands",5.2,43,50.94,-178.15
20/12/2023,"Hindu Kush Region, Afghanistan",3.5,90,36.45,70.62
19/12/2023,"Halmahera, Indonesia",5.4,178,32.73,128.29
19/12/2023,Southeast of Loyalty Islands,5.3,10,-22.66,169.97
19/12/2023,Afghanistan-Tajikistan Border Region,3.7,105,36.58,71.01
19/12/2023,Solomon Islands,5.5,84,-6.81,155.2
18/12/2023,"Qinghai, China",5.9,35,35.72,102.84
18/12/2023,Afghanistan-Tajikistan Border Region,3.7,120,37.7,66.35
18/12/2023,"101 km East of Doda, Indian Held Kashmir",5.1,15,33.64,76.22
18/12/2023,"103 km East  of Doda, Indian Held Kashmir",5.8,28,33.2,76.66
18/12/2023,"Hindu Kush Region, Afghanistan",3.8,180,36.47,70.89
18/12/2023,Afghanistan-Tajikistan Border Region,3.9,118,38.61,70.96
18/12/2023,"Hindu Kush Region, Afghanistan",3.9,102,36.44,70.71
18/12/2023,Southeastern Afghanistan,3.2,120,32.33,65.5
18/12/2023,Reykjanes Ridge,4.7,54,57.79,-32.61
18/12/2023,"Near Coast of Chiapas, Mexico",4.9,23,14.34,-93.85
17/12/2023,"Hindu Kush Region,Afghanistan",3.6,182,36.53,70.37
17/12/2023,Afghanistan-Tajikistan Border Region,3.7,110,36.79,71.02
17/12/2023,Near North  Coast of Irian Jaya,4.9,42,-2.36,140.12
17/12/2023,Eastern Gulf of Aden,4.9,10,11.17,47.81
17/12/2023,Philippine Islands Region,4.9,10,8.21,127.61
17/12/2023,Southeast of Loyalty Islands,5.5,10,-21.52,169.11
17/12/2023,"Seram, Indonesia",4.5,10,-3.1,130.68
16/12/2023,Southern Alaska,5.1,5,59.88,157.72
16/12/2023,Santa Cruz Islands,5.6,100,-12.91,166.58
16/12/2023,Turkmenistan,2.9,100,37.05,63.83
16/12/2023,"12 km NW of Reasi, IHK",3.6,43,33.16,74.72
16/12/2023,Turkmenistan,3.6,100,36.14,62.46
16/12/2023,Mariana Islands,5.3,10,20.35,145.79
16/12/2023,"Hindu Kush Region,Afghanistan",3.8,100,37.07,70.8
16/12/2023,"Southern Sumatra, Indonesia",5.2,66,-0.32,98.87
16/12/2023,Tajikistan,3.6,89,37.72,73.05
16/12/2023,"New Ireland Region, P.N.G",4.8,377,-3.38,152.15
15/12/2023,"Hindu Kush Region,Afghanistan",4.1,180,36.57,70.6
15/12/2023,Philippine Islands Region,5.3,10,8.93,127.6
15/12/2023,32 Km West of Mastung,3.9,18,29.8,66.51
15/12/2023,"Hindu Kush Region,Afghanistan",3.7,170,36.57,70.25
15/12/2023,Tajikistan-Xinjiang Border Region,3.9,170,38.38,74.45
15/12/2023,Banda Sea,5.1,155,-6.97,129.6
14/12/2023,Philippine Islands Region,4.8,63,8.63,127.51
14/12/2023,"Eastern Kashmir, 60 Km NE of Jammu",3.2,45,33.11,75.3
14/12/2023,Afghanistan-Tajikistan Border Region,3.8,180,36.73,71.47
14/12/2023,"Hindu Kush Region,Afghanistan",3.8,210,35.89,66.18
14/12/2023,Mariana Islands,5.1,10,19.8,145.51
14/12/2023,Guatemala,5.5,65,13.98,-91.44
14/12/2023,South Sandwich Islands Region,5.6,109,-58.8,-25.67
14/12/2023,"Near Coast of Chiapas, Mexico",5.2,35,14.19,-92.88
14/12/2023,"Salta Province, Argentina",5.2,184,-24.07,-66.74
14/12/2023,Tajikistan,3.5,171,34.51,72.3
14/12/2023,"Java, Indonesia",5.0,107,-7.05,106.21
14/12/2023,Northern Mid Atlantic Ridge,4.7,10,17.35,-46.49
14/12/2023,Philippine Islands Region,5.1,10,8.61,127.74
14/12/2023,Minahassa Peninsula Sulawesi,5.2,113,0.07,124.14
13/12/2023,Norwegian Sea,5.2,5,72.68,3.58
13/12/2023,"Hidu Kush Region, Afghanistan",3.4,254,36.92,68.92
13/12/2023,"Southern Xinjiang, China",4.3,153,37.96,76.66
13/12/2023,Norwegian Sea,5.0,10,72.74,3.87
13/12/2023,Afghanistan-Tajikistan Border Region,3.3,201,36.02,71.95
13/12/2023,Northwestern Afghanistan,4.1,100,34.54,64.78
13/12/2023,Banda Sea,4.7,168,-7.39,128.69
13/12/2023,Banda Sea,4.8,171,-7.37,128.7
13/12/2023,Southern East Pacific Rise,4.7,150,-25.56,-116.0
13/12/2023,Vanuatu Islands,4.9,147,-20.76,169.26
13/12/2023,Kashmir-Xinjiang Border Region,4.1,143,36.78,76.21
12/12/2023,Southeastern Afghanistan,3.9,90,34.9,70.58
12/12/2023,Northwestern Afghanistan,4.4,100,33.26,64.8
12/12/2023,"Mindanao, Philippines",5.5,55,8.75,126.89
12/12/2023,Tonga Islands,5.9,10,-20.22,-173.82
12/12/2023,Southwest Indian Ridge,4.8,10,-31.39,58.09
12/12/2023,Tonga Islands,5.7,267,-17.96,-175.45
12/12/2023,Philippine Islands Region,4.9,35,8.93,127.22
12/12/2023,Philippine Islands Region,5.0,12,8.9,127.22
12/12/2023,"Hindu Kush Region,Afghanistan",5.2,135,36.39,70.79
12/12/2023,"South of Sumbawa,Indonesia",4.9,10,-10.62,116.85
11/12/2023,Philippine Islands Region,5.2,10,8.65,127.35
11/12/2023,Philippine Islands Region,4.9,112,8.42,127.83
11/12/2023,Northwestern Afghanistan,3.9,100,35.48,64.86
11/12/2023,Scotia Sea,5.3,5,-60.22,-33.08
11/12/2023,Fiji Islands Region,5.0,589,-21.73,-179.38
11/12/2023,"Southern Sumatra, Indonesia",5.4,250,-0.35,101.38
11/12/2023,Tonga Islands,6.1,248,-18.78,-175.67
11/12/2023,"Halmahera, Indonesia",5.1,106,2.76,128.36
11/12/2023,Timor Region,5.2,10,-8.2,127.76
11/12/2023,"Hindu Kush Region,Afghanistan",4.8,172,36.64,70.69
11/12/2023,Reykjanes Ridge,4.8,10,56.94,-34.62
11/12/2023,Afghanistan-Tajikistan Border Region,3.8,267,37.58,68.89
10/12/2023,Tajikistan,3.7,144,37.4,73.67
10/12/2023,Philippine Islands Region,5.2,10,8.75,127.43
10/12/2023,"Irian Jaya , Indonesia",5.0,10,-4.12,139.49
10/12/2023,"Mindanao, Philippines",4.8,20,38.03,126.81
10/12/2023,Mariana Islands,5.5,120,18.81,146.08
10/12/2023,Near Coast of Peru,5.6,16,-14.27,-76.4
10/12/2023,Near Coast of Peru,5.6,16,-14.27,-76.4
10/12/2023,Near Coast of Peru,5.2,12,-14.3,-176.12
10/12/2023,"Mindanao, Philippines",4.7,104,9.93,126.05
10/12/2023,"Kamchatka Peninsulla, Russia",4.7,149,51.27,156.48
10/12/2023,"Hindu Kush Region,Afghanistan",5.0,162,36.08,69.97
10/12/2023,Reykjanes Ridge,4.4,10,56.77,-34.09
09/12/2023,"Hindu Kush Region,Afghanistan",3.7,150,36.56,70.83
09/12/2023,Northern Molucca sea,4.5,58,1.89,126.55
09/12/2023,Reykjanes Ridge,4.5,60,56.71,-34.22
09/12/2023,Reykjanes Ridge,4.5,10,56.67,-34.12
09/12/2023,Reykjanes Ridge,4.5,100,56.53,-34.13
09/12/2023,"Mindanao, Philippines",5.1,10,6.56,126.6
09/12/2023,Southeastern Afghanistan,4.1,99,31.64,64.51
09/12/2023,Virgin Island,5.4,32,18.78,-64.26
09/12/2023,"18 km SW of Tank, KPK",3.8,75,32.17,70.19
09/12/2023,Reykjanes Ridge,4.6,10,56.63,-34.26
09/12/2023,"Hindu Kush Region,Afghanistan",3.3,322,36.61,67.66
09/12/2023,Reykjanes Ridge,4.6,58,56.68,-34.22
09/12/2023,Reykjanes Ridge,4.3,128,56.95,-34.5
09/12/2023,Reykjanes Ridge,4.6,73,56.53,-34.27
09/12/2023,Reykjanes Ridge,4.7,5,56.47,-34.19
08/12/2023,Tajikistan,4.6,145,37.36,72.24
08/12/2023,Reykjanes Ridge,4.3,69,56.68,-34.17
08/12/2023,Vanuatu Islands,5.2,10,20.3,169.08
08/12/2023,Vanuatu Islands,5.2,5,-20.82,169.3
08/12/2023,"New Britain Region, P.N.G.",5.4,124,-6.77,152.66
08/12/2023,Philippine Islands Region,5.2,94,8.73,127.24
08/12/2023,Philippine Islands Region,5.3,10,8.9,127.0
08/12/2023,Tonga Islands,5.3,5,-20.2,-173.85
08/12/2023,Vanuatu Islands,5.7,108,-20.42,169.44
08/12/2023,South Sandwich Islands Region,4.9,5,-59.67,-26.43
08/12/2023,Philippine Islands Region,5.1,65,8.67,127.29
08/12/2023,"Mindanao, Philippines",5.1,69,9.54,126.73
08/12/2023,Tonga Islands,5.3,6,-20.27,-173.78
08/12/2023,"Xizang, China",3.5,82,36.14,76.77
08/12/2023,Solmon Islands,5.9,47,-8.57,157.21
07/12/2023,Afghanistan-Tajikistan Border Region,3.8,110,37.56,71.91
07/12/2023,Afghanistan-Tajikistan Border Region,4.5,120,37.26,70.8
07/12/2023,Eastern Gulf of Aden,4.5,12,12.37,47.26
07/12/2023,"Central,Mexico",5.8,58,18.38,-98.59
07/12/2023,Kermadec Islands Region,5.2,38,-31.15,-178.2
07/12/2023,"23 Km NE of Sibi, Balochistan",3.9,24,29.6,68.12
07/12/2023,Philippine Islands Region,5.2,10,8.73,127.16
07/12/2023,"Hindu Kush Region, Afghanistan",3.5,126,36.48,70.47
07/12/2023,Eastern Gulf of Aden,5.1,10,12.21,47.15
07/12/2023,Vanuatu Islands,6.8,67,-20.66,169.32
07/12/2023,Philippine Islands Region,5.3,10,8.9,127.04
07/12/2023,"Mindanao, Philippines",5.1,66,8.78,126.74
07/12/2023,Caspian Sea,5.4,35,41.13,49.75
07/12/2023,Off Coast of Central Amercia,4.9,49,12.63,-88.74
07/12/2023,Southern Molucca Sea,4.9,24,-1.14,126.87
07/12/2023,"Hindu Kush Region,Afghanistan",4.3,128,36.61,70.54
07/12/2023,"29 Km North of Charbagh, Swat",3.8,27,35.09,72.38
06/12/2023,Philippine Islands Region,5.0,127,8.59,127.08
06/12/2023,"Mindanao, Philippines",5.0,26,9.08,127.33
06/12/2023,Afghanistan-Tajikistan Border Region,3.9,110,37.8,70.69
06/12/2023,Philippine Islands Region,5.2,10,8.58,127.22
06/12/2023,"Mindanao, Philippines",5.3,30,8.47,126.91
06/12/2023,Afghanistan-Tajikistan Border Region,3.1,317,37.45,70.04
06/12/2023,"Southern Xinjiang, China",4.5,120,38.63,76.02
06/12/2023,"Eastern New Guinea Region, P.N.G",5.4,166,-5.57,147.27
06/12/2023,"Mindanao, Philippines",4.9,10,8.81,126.98
06/12/2023,"Mindanao, Philippines",4.8,42,9.03,126.84
06/12/2023,Philippines Islands Region,4.9,30,19.09,121.15
06/12/2023,Afghanistan-Tajikistan Border Region,3.9,140,36.72,71.26
05/12/2023,"Mindanao, Philippines",5.1,14,8.92,126.92
05/12/2023,Philippine Islands Region,5.0,13,8.92,127.8
05/12/2023,Eastern Gulf of Aden,4.9,11,12.45,47.52
05/12/2023,28 Km Northwest of Chilas,3.6,13,35.54,73.84
05/12/2023,Afghanistan-Tajikistan Border Region,3.7,120,36.25,71.19
05/12/2023,Philippine Islands Region,5.1,17,9.26,127.06
05/12/2023,"Nicobar Islands, India Region",4.7,13,29.36,93.72
05/12/2023,"Mindanao, Philippines",5.7,12,9.21,126.89
05/12/2023,"Mindanao, Philippines",5.5,52,8.63,126.98
05/12/2023,"Halmahera, Indonesia",5.3,64,2.6,128.3
05/12/2023,Eastern Gulf of Aden,4.6,15,12.42,47.52
05/12/2023,"Mindanao, Philippines",5.0,13,8.82,126.91
05/12/2023,Eastern Gulf of Aden,4.6,17,12.5,47.37
05/12/2023,"Mindanao, Philippines",5.2,15,9.48,126.95
05/12/2023,"Mindanao, Philippines",5.6,12,9.29,126.78
05/12/2023,"Mindanao, Philippines",5.6,15,9.18,126.66
05/12/2023,"Mindoro, Philippines",5.7,93,13.91,120.59
05/12/2023,Eastern Gulf of Aden,5.3,11,12.4,47.4
05/12/2023,Philippine Islands Region,5.1,76,8.46,127.02
05/12/2023,Philippine Islands Region,5.0,16,9.14,127.51
05/12/2023,Hawaii,4.7,19,19.9,-155.32
05/12/2023,Philippine Islands Region,5.0,11,9.02,127.06
05/12/2023,Philippine Islands Region,4.9,55,8.47,127.15
05/12/2023,Afghanistan-Tajikistan Border Region,3.7,70,36.55,71.11
05/12/2023,"Hindu Kush Region, Afghanistan",3.5,229,36.35,69.98
05/12/2023,"Mindanao, Philippines",5.0,124,8.65,126.94
05/12/2023,"Mindanao, Philippines",5.2,41,8.74,126.87
05/12/2023,Tajikistan-Xinjiang Border Region,4.6,210,37.59,74.9
05/12/2023,"Mindanao, Philippines",5.3,65,8.92,126.65
04/12/2023,"Mindanao, Philippines",4.8,144,8.76,126.99
04/12/2023,Philippine Islands Region,4.9,11,8.47,127.41
04/12/2023,Talaud Islands Region,4.9,10,-3.74,127.04
04/12/2023,South Indian Ocean,4.7,12,3.07,86.84
04/12/2023,160 km SW of Khuzdar,5.5,60,27.09,65.14
04/12/2023,"Eastern New Guinea Region, P.N.G",4.5,164,-7.07,146.09
04/12/2023,"Fox Islands, Aleutian Islands",4.9,36,51.78,-170.84
04/12/2023,Philippine Islands Region,5.0,10,8.43,127.03
04/12/2023,Turkey,4.6,10,40.45,28.84
04/12/2023,"Mindanao, Philippines",5.4,40,8.52,126.85
04/12/2023,"Mindanao, Philippines",5.6,10,8.41,126.87
04/12/2023,"Mindanao, Philippines",5.7,43,8.89,126.7
04/12/2023,"Mindanao, Philippines",5.5,42,8.89,126.92
04/12/2023,Philippine Islands Region,5.4,10,8.45,127.13
04/12/2023,"Mindanao, Philippines",5.2,49,8.8,126.75
04/12/2023,Philippine Islands Region,5.2,15,8.7,126.01
04/12/2023,Philippine Islands Region,5.2,11,8.62,127.02
04/12/2023,"Mindanao, Philippines",4.9,12,8.34,126.81
04/12/2023,Afghanistan-Tajikistan Border Region.,3.6,127,37.03,71.43
03/12/2023,"Mindanao, Philippines",5.2,15,8.63,126.95
03/12/2023,Philippines Islands Region,5.2,35,8.75,127.1
03/12/2023,Mariana Islands Region,4.7,257,19.53,145.32
03/12/2023,Philippine Islands Region,5.1,15,8.9,127.25
03/12/2023,"Southeast of Honshu, Japan",4.2,67,31.53,139.65
03/12/2023,Romania,4.7,135,45.85,25.73
03/12/2023,"Mindanao, Philippines",5.5,38,8.79,126.97
03/12/2023,"Mindanao, Philippines",5.6,52,8.96,126.71
03/12/2023,"Mindanao, Philippines",5.3,104,8.71,126.95
03/12/2023,"Mindanao, Philippines",6.7,10,9.02,126.75
03/12/2023,Philippine Islands Region,4.8,104,8.78,127.04
03/12/2023,"Mindanao, Philippines",5.0,10,9.19,126.83
03/12/2023,Philippines Islands Region,5.0,10,8.68,127.03
03/12/2023,"37 KM NW of Tank, KPK",4.8,45,32.47,70.12
03/12/2023,"Mindanao, Philippines",5.1,66,8.99,126.76
03/12/2023,Philippine Islands Region,5.0,10,8.82,127.19
03/12/2023,Xizang,3.8,65,33.01,80.47
03/12/2023,Philippine Islands Region,5.2,10,8.82,127.01
03/12/2023,"21 km NE of Dir, KPK",2.7,30,35.24,72.11
03/12/2023,Philippine Islands Region,5.0,75,8.78,127.14
03/12/2023,Philippine Islands Region,5.2,10,8.72,127.25
03/12/2023,"Mindanao, Philippines",5.6,53,8.42,126.93
03/12/2023,"Mindanao, Philippines",5.8,11,8.81,126.97
03/12/2023,"Mindanao, Philippines",5.5,54,8.51,126.88
03/12/2023,Philippine Islands Region,5.5,10,8.8,127.17
03/12/2023,Philippine Islands Region,5.1,10,8.71,127.16
03/12/2023,"Mindanao, Philippines",5.0,63,9.15,126.62
03/12/2023,"Mindanao, Philippines",5.2,42,8.49,126.98
03/12/2023,"Mindanao, Philippines",5.0,137,8.74,126.74
03/12/2023,Philippine Islands Region,5.8,46,8.27,127.13
03/12/2023,"Mindanao, Philippines",6.6,36,8.54,127.04
03/12/2023,Philippine Islands Region,5.1,82,8.4,127.12
03/12/2023,"Hindu Kush Region,Afghanistan",2.5,45,36.6,67.8
03/12/2023,Philippine Islands Region,5.3,90,8.55,127.08
03/12/2023,Philippine Islands Region,5.2,10,8.95,127.08
03/12/2023,Philippine Islands Region,5.1,62,8.41,127.01
03/12/2023,Philippine Islands Region,4.9,10,8.36,127.06
03/12/2023,Philippine Islands Region,5.2,13,8.69,127.31
03/12/2023,Philippine Islands Region,5.0,11,8.91,127.31
03/12/2023,Tajikistan-Xinjiang Border Region,3.4,33,38.34,73.87
03/12/2023,"Mindanao, Philippines",5.5,64,8.65,126.73
03/12/2023,Philippine Islands Region,5.0,12,8.82,127.18
03/12/2023,"Mindanao, Philippines",5.1,10,8.92,126.84
03/12/2023,Philippine Islands Region,5.1,107,8.34,127.06
03/12/2023,Philippines Islands Region,5.0,11,8.75,127.44
03/12/2023,Philippines Islands Region,5.4,12,8.55,127.12
03/12/2023,"Mindanao, Philippines",5.2,15,8.27,126.95
03/12/2023,"Seram, Indonesia",4.9,40,-2.72,129.49
03/12/2023,"Mindanao, Philippines",5.4,10,8.81,126.97
03/12/2023,Flores Region Indonesia,4.9,185,-8.4,119.81
02/12/2023,"Mindanao, Philippines",5.0,10,8.52,127.09
02/12/2023,Kashmir-Xizang Border Region,3.8,60,34.61,79.8
02/12/2023,"Mindanao, Philippines",5.2,81,8.36,126.83
02/12/2023,"Mindanao, Philippines",4.9,67,8.39,126.83
02/12/2023,"Mindanao, Philippines",5.0,67,8.39,126.85
02/12/2023,Philippines Islands Region,5.1,45,10.69,126.15
02/12/2023,"Mindanao, Philippines",5.8,73,8.34,126.85
02/12/2023,"Mindanao, Philippines",5.2,54,8.26,126.83
02/12/2023,Fiji Islands Region,4.9,553,20.41,177.94
02/12/2023,"Mindanao, Philippines",5.0,60,8.69,124.82
02/12/2023,"Mindanao, Philippines",5.0,117,8.38,126.97
02/12/2023,"Mindanao, Philippines",5.2,61,8.37,126.93
02/12/2023,"Mindanao, Philippines",5.0,49,8.46,127.06
02/12/2023,"Mindanao, Philippines",5.8,36,8.68,126.78
02/12/2023,"Mindanao, Philippines",6.3,48,8.51,126.96
02/12/2023,Mariana philippines,6.2,53,8.43,126.78
02/12/2023,"Mindanao, Philippines",5.4,54,8.41,126.69
02/12/2023,"Mindanao, Philippines",5.5,18,6.17,127.04
02/12/2023,"Mindanao, Philippines",5.6,16,8.91,127.08
02/12/2023,"Mindanao, Philippines",6.1,18,8.5,126.87
02/12/2023,"Mindanao, Philippines",5.1,127,8.5,126.79
02/12/2023,"Mindanao, Philippines",6.1,18,8.61,127.09
02/12/2023,"Mindanao, Philippines",6.6,18,8.48,126.76
02/12/2023,Philippine Islands Region,5.8,52,8.59,127.05
02/12/2023,Philippine Islands Region,6.1,20,8.71,126.92
02/12/2023,"Mindanao, Philippines",6.0,50,8.37,126.9
02/12/2023,"Mindanao, Philippines",6.4,18,8.49,126.96
02/12/2023,Philippine Islands Region,6.0,80,8.66,127.01
02/12/2023,"Mindanao, Philippines",7.4,20,8.53,126.47
02/12/2023,Banda Sea,5.6,144,-6.98,129.7
02/12/2023,"18 Km Southwest of Kohat, KPK",3.3,18,33.45,71.39
02/12/2023,Near Coast of Northern Chile,5.4,44,-24.52,-70.32
02/12/2023,Leeward Islands,5.6,34,16.75,-60.81
